Team,Season,URL
TBR,2020,https://www.baseball-reference.com/teams/TBR/2020.shtml
TBR,2021,https://www.baseball-reference.com/teams/TBR/2021.shtml
TBR,2022,https://www.baseball-reference.com/teams/TBR/2022.shtml
TBR,2023,https://www.baseball-reference.com/teams/TBR/2023.shtml
TBR,2024,https://www.baseball-reference.com/teams/TBR/2024.shtml
TBR,2025,https://www.baseball-reference.com/teams/TBR/2025.shtml
LAA,2020,https://www.baseball-reference.com/teams/LAA/2020.shtml
LAA,2021,https://www.baseball-reference.com/teams/LAA/2021.shtml
LAA,2022,https://www.baseball-reference.com/teams/LAA/2022.shtml
LAA,2023,https://www.baseball-reference.com/teams/LAA/2023.shtml
LAA,2024,https://www.baseball-reference.com/teams/LAA/2024.shtml
LAA,2025,https://www.baseball-reference.com/teams/LAA/2025.shtml
STL,2020,https://www.baseball-reference.com/teams/STL/2020.shtml
STL,2021,https://www.baseball-reference.com/teams/STL/2021.shtml
STL,2022,https://www.baseball-reference.com/teams/STL/2022.shtml
STL,2023,https://www.baseball-reference.com/teams/STL/2023.shtml
STL,2024,https://www.baseball-reference.com/teams/STL/2024.shtml
STL,2025,https://www.baseball-reference.com/teams/STL/2025.shtml
OAK,2020,https://www.baseball-reference.com/teams/OAK/2020.shtml
OAK,2021,https://www.baseball-reference.com/teams/OAK/2021.shtml
OAK,2022,https://www.baseball-reference.com/teams/OAK/2022.shtml
OAK,2023,https://www.baseball-reference.com/teams/OAK/2023.shtml
OAK,2024,https://www.baseball-reference.com/teams/OAK/2024.shtml
OAK,2025,https://www.baseball-reference.com/teams/OAK/2025.shtml
CHC,2020,https://www.baseball-reference.com/teams/CHC/2020.shtml
CHC,2021,https://www.baseball-reference.com/teams/CHC/2021.shtml
CHC,2022,https://www.baseball-reference.com/teams/CHC/2022.shtml
CHC,2023,https://www.baseball-reference.com/teams/CHC/2023.shtml
CHC,2024,https://www.baseball-reference.com/teams/CHC/2024.shtml
CHC,2025,https://www.baseball-reference.com/teams/CHC/2025.shtml
SDP,2020,https://www.baseball-reference.com/teams/SDP/2020.shtml
SDP,2021,https://www.baseball-reference.com/teams/SDP/2021.shtml
SDP,2022,https://www.baseball-reference.com/teams/SDP/2022.shtml
SDP,2023,https://www.baseball-reference.com/teams/SDP/2023.shtml
SDP,2024,https://www.baseball-reference.com/teams/SDP/2024.shtml
SDP,2025,https://www.baseball-reference.com/teams/SDP/2025.shtml
BAL,2020,https://www.baseball-reference.com/teams/BAL/2020.shtml
BAL,2021,https://www.baseball-reference.com/teams/BAL/2021.shtml
BAL,2022,https://www.baseball-reference.com/teams/BAL/2022.shtml
BAL,2023,https://www.baseball-reference.com/teams/BAL/2023.shtml
BAL,2024,https://www.baseball-reference.com/teams/BAL/2024.shtml
BAL,2025,https://www.baseball-reference.com/teams/BAL/2025.shtml
CIN,2020,https://www.baseball-reference.com/teams/CIN/2020.shtml
CIN,2021,https://www.baseball-reference.com/teams/CIN/2021.shtml
CIN,2022,https://www.baseball-reference.com/teams/CIN/2022.shtml
CIN,2023,https://www.baseball-reference.com/teams/CIN/2023.shtml
CIN,2024,https://www.baseball-reference.com/teams/CIN/2024.shtml
CIN,2025,https://www.baseball-reference.com/teams/CIN/2025.shtml
LAD,2020,https://www.baseball-reference.com/teams/LAD/2020.shtml
LAD,2021,https://www.baseball-reference.com/teams/LAD/2021.shtml
LAD,2022,https://www.baseball-reference.com/teams/LAD/2022.shtml
LAD,2023,https://www.baseball-reference.com/teams/LAD/2023.shtml
LAD,2024,https://www.baseball-reference.com/teams/LAD/2024.shtml
LAD,2025,https://www.baseball-reference.com/teams/LAD/2025.shtml
MIA,2020,https://www.baseball-reference.com/teams/MIA/2020.shtml
MIA,2021,https://www.baseball-reference.com/teams/MIA/2021.shtml
MIA,2022,https://www.baseball-reference.com/teams/MIA/2022.shtml
MIA,2023,https://www.baseball-reference.com/teams/MIA/2023.shtml
MIA,2024,https://www.baseball-reference.com/teams/MIA/2024.shtml
MIA,2025,https://www.baseball-reference.com/teams/MIA/2025.shtml
CLE,2020,https://www.baseball-reference.com/teams/CLE/2020.shtml
CLE,2021,https://www.baseball-reference.com/teams/CLE/2021.shtml
CLE,2022,https://www.baseball-reference.com/teams/CLE/2022.shtml
CLE,2023,https://www.baseball-reference.com/teams/CLE/2023.shtml
CLE,2024,https://www.baseball-reference.com/teams/CLE/2024.shtml
CLE,2025,https://www.baseball-reference.com/teams/CLE/2025.shtml
BOS,2020,https://www.baseball-reference.com/teams/BOS/2020.shtml
BOS,2021,https://www.baseball-reference.com/teams/BOS/2021.shtml
BOS,2022,https://www.baseball-reference.com/teams/BOS/2022.shtml
BOS,2023,https://www.baseball-reference.com/teams/BOS/2023.shtml
BOS,2024,https://www.baseball-reference.com/teams/BOS/2024.shtml
BOS,2025,https://www.baseball-reference.com/teams/BOS/2025.shtml
DET,2020,https://www.baseball-reference.com/teams/DET/2020.shtml
DET,2021,https://www.baseball-reference.com/teams/DET/2021.shtml
DET,2022,https://www.baseball-reference.com/teams/DET/2022.shtml
DET,2023,https://www.baseball-reference.com/teams/DET/2023.shtml
DET,2024,https://www.baseball-reference.com/teams/DET/2024.shtml
DET,2025,https://www.baseball-reference.com/teams/DET/2025.shtml
SFG,2020,https://www.baseball-reference.com/teams/SFG/2020.shtml
SFG,2021,https://www.baseball-reference.com/teams/SFG/2021.shtml
SFG,2022,https://www.baseball-reference.com/teams/SFG/2022.shtml
SFG,2023,https://www.baseball-reference.com/teams/SFG/2023.shtml
SFG,2024,https://www.baseball-reference.com/teams/SFG/2024.shtml
SFG,2025,https://www.baseball-reference.com/teams/SFG/2025.shtml
TEX,2020,https://www.baseball-reference.com/teams/TEX/2020.shtml
TEX,2021,https://www.baseball-reference.com/teams/TEX/2021.shtml
TEX,2022,https://www.baseball-reference.com/teams/TEX/2022.shtml
TEX,2023,https://www.baseball-reference.com/teams/TEX/2023.shtml
TEX,2024,https://www.baseball-reference.com/teams/TEX/2024.shtml
TEX,2025,https://www.baseball-reference.com/teams/TEX/2025.shtml
MIN,2020,https://www.baseball-reference.com/teams/MIN/2020.shtml
MIN,2021,https://www.baseball-reference.com/teams/MIN/2021.shtml
MIN,2022,https://www.baseball-reference.com/teams/MIN/2022.shtml
MIN,2023,https://www.baseball-reference.com/teams/MIN/2023.shtml
MIN,2024,https://www.baseball-reference.com/teams/MIN/2024.shtml
MIN,2025,https://www.baseball-reference.com/teams/MIN/2025.shtml
COL,2020,https://www.baseball-reference.com/teams/COL/2020.shtml
COL,2021,https://www.baseball-reference.com/teams/COL/2021.shtml
COL,2022,https://www.baseball-reference.com/teams/COL/2022.shtml
COL,2023,https://www.baseball-reference.com/teams/COL/2023.shtml
COL,2024,https://www.baseball-reference.com/teams/COL/2024.shtml
COL,2025,https://www.baseball-reference.com/teams/COL/2025.shtml
WSN,2020,https://www.baseball-reference.com/teams/WSN/2020.shtml
WSN,2021,https://www.baseball-reference.com/teams/WSN/2021.shtml
WSN,2022,https://www.baseball-reference.com/teams/WSN/2022.shtml
WSN,2023,https://www.baseball-reference.com/teams/WSN/2023.shtml
WSN,2024,https://www.baseball-reference.com/teams/WSN/2024.shtml
WSN,2025,https://www.baseball-reference.com/teams/WSN/2025.shtml
TOR,2020,https://www.baseball-reference.com/teams/TOR/2020.shtml
TOR,2021,https://www.baseball-reference.com/teams/TOR/2021.shtml
TOR,2022,https://www.baseball-reference.com/teams/TOR/2022.shtml
TOR,2023,https://www.baseball-reference.com/teams/TOR/2023.shtml
TOR,2024,https://www.baseball-reference.com/teams/TOR/2024.shtml
TOR,2025,https://www.baseball-reference.com/teams/TOR/2025.shtml
ARI,2020,https://www.baseball-reference.com/teams/ARI/2020.shtml
ARI,2021,https://www.baseball-reference.com/teams/ARI/2021.shtml
ARI,2022,https://www.baseball-reference.com/teams/ARI/2022.shtml
ARI,2023,https://www.baseball-reference.com/teams/ARI/2023.shtml
ARI,2024,https://www.baseball-reference.com/teams/ARI/2024.shtml
ARI,2025,https://www.baseball-reference.com/teams/ARI/2025.shtml
NYY,2020,https://www.baseball-reference.com/teams/NYY/2020.shtml
NYY,2021,https://www.baseball-reference.com/teams/NYY/2021.shtml
NYY,2022,https://www.baseball-reference.com/teams/NYY/2022.shtml
NYY,2023,https://www.baseball-reference.com/teams/NYY/2023.shtml
NYY,2024,https://www.baseball-reference.com/teams/NYY/2024.shtml
NYY,2025,https://www.baseball-reference.com/teams/NYY/2025.shtml
PHI,2020,https://www.baseball-reference.com/teams/PHI/2020.shtml
PHI,2021,https://www.baseball-reference.com/teams/PHI/2021.shtml
PHI,2022,https://www.baseball-reference.com/teams/PHI/2022.shtml
PHI,2023,https://www.baseball-reference.com/teams/PHI/2023.shtml
PHI,2024,https://www.baseball-reference.com/teams/PHI/2024.shtml
PHI,2025,https://www.baseball-reference.com/teams/PHI/2025.shtml
MIL,2020,https://www.baseball-reference.com/teams/MIL/2020.shtml
MIL,2021,https://www.baseball-reference.com/teams/MIL/2021.shtml
MIL,2022,https://www.baseball-reference.com/teams/MIL/2022.shtml
MIL,2023,https://www.baseball-reference.com/teams/MIL/2023.shtml
MIL,2024,https://www.baseball-reference.com/teams/MIL/2024.shtml
MIL,2025,https://www.baseball-reference.com/teams/MIL/2025.shtml
CHW,2020,https://www.baseball-reference.com/teams/CHW/2020.shtml
CHW,2021,https://www.baseball-reference.com/teams/CHW/2021.shtml
CHW,2022,https://www.baseball-reference.com/teams/CHW/2022.shtml
CHW,2023,https://www.baseball-reference.com/teams/CHW/2023.shtml
CHW,2024,https://www.baseball-reference.com/teams/CHW/2024.shtml
CHW,2025,https://www.baseball-reference.com/teams/CHW/2025.shtml
HOU,2020,https://www.baseball-reference.com/teams/HOU/2020.shtml
HOU,2021,https://www.baseball-reference.com/teams/HOU/2021.shtml
HOU,2022,https://www.baseball-reference.com/teams/HOU/2022.shtml
HOU,2023,https://www.baseball-reference.com/teams/HOU/2023.shtml
HOU,2024,https://www.baseball-reference.com/teams/HOU/2024.shtml
HOU,2025,https://www.baseball-reference.com/teams/HOU/2025.shtml
NYM,2020,https://www.baseball-reference.com/teams/NYM/2020.shtml
NYM,2021,https://www.baseball-reference.com/teams/NYM/2021.shtml
NYM,2022,https://www.baseball-reference.com/teams/NYM/2022.shtml
NYM,2023,https://www.baseball-reference.com/teams/NYM/2023.shtml
NYM,2024,https://www.baseball-reference.com/teams/NYM/2024.shtml
NYM,2025,https://www.baseball-reference.com/teams/NYM/2025.shtml
PIT,2020,https://www.baseball-reference.com/teams/PIT/2020.shtml
PIT,2021,https://www.baseball-reference.com/teams/PIT/2021.shtml
PIT,2022,https://www.baseball-reference.com/teams/PIT/2022.shtml
PIT,2023,https://www.baseball-reference.com/teams/PIT/2023.shtml
PIT,2024,https://www.baseball-reference.com/teams/PIT/2024.shtml
PIT,2025,https://www.baseball-reference.com/teams/PIT/2025.shtml
ATL,2020,https://www.baseball-reference.com/teams/ATL/2020.shtml
ATL,2021,https://www.baseball-reference.com/teams/ATL/2021.shtml
ATL,2022,https://www.baseball-reference.com/teams/ATL/2022.shtml
ATL,2023,https://www.baseball-reference.com/teams/ATL/2023.shtml
ATL,2024,https://www.baseball-reference.com/teams/ATL/2024.shtml
ATL,2025,https://www.baseball-reference.com/teams/ATL/2025.shtml
KCR,2020,https://www.baseball-reference.com/teams/KCR/2020.shtml
KCR,2021,https://www.baseball-reference.com/teams/KCR/2021.shtml
KCR,2022,https://www.baseball-reference.com/teams/KCR/2022.shtml
KCR,2023,https://www.baseball-reference.com/teams/KCR/2023.shtml
KCR,2024,https://www.baseball-reference.com/teams/KCR/2024.shtml
KCR,2025,https://www.baseball-reference.com/teams/KCR/2025.shtml
SEA,2020,https://www.baseball-reference.com/teams/SEA/2020.shtml
SEA,2021,https://www.baseball-reference.com/teams/SEA/2021.shtml
SEA,2022,https://www.baseball-reference.com/teams/SEA/2022.shtml
SEA,2023,https://www.baseball-reference.com/teams/SEA/2023.shtml
SEA,2024,https://www.baseball-reference.com/teams/SEA/2024.shtml
SEA,2025,https://www.baseball-reference.com/teams/SEA/2025.shtml
FLA,2020,https://www.baseball-reference.com/teams/FLA/2020.shtml
FLA,2021,https://www.baseball-reference.com/teams/FLA/2021.shtml
FLA,2022,https://www.baseball-reference.com/teams/FLA/2022.shtml
FLA,2023,https://www.baseball-reference.com/teams/FLA/2023.shtml
FLA,2024,https://www.baseball-reference.com/teams/FLA/2024.shtml
FLA,2025,https://www.baseball-reference.com/teams/FLA/2025.shtml
TBD,2020,https://www.baseball-reference.com/teams/TBD/2020.shtml
TBD,2021,https://www.baseball-reference.com/teams/TBD/2021.shtml
TBD,2022,https://www.baseball-reference.com/teams/TBD/2022.shtml
TBD,2023,https://www.baseball-reference.com/teams/TBD/2023.shtml
TBD,2024,https://www.baseball-reference.com/teams/TBD/2024.shtml
TBD,2025,https://www.baseball-reference.com/teams/TBD/2025.shtml
ANA,2020,https://www.baseball-reference.com/teams/ANA/2020.shtml
ANA,2021,https://www.baseball-reference.com/teams/ANA/2021.shtml
ANA,2022,https://www.baseball-reference.com/teams/ANA/2022.shtml
ANA,2023,https://www.baseball-reference.com/teams/ANA/2023.shtml
ANA,2024,https://www.baseball-reference.com/teams/ANA/2024.shtml
ANA,2025,https://www.baseball-reference.com/teams/ANA/2025.shtml
MON,2020,https://www.baseball-reference.com/teams/MON/2020.shtml
MON,2021,https://www.baseball-reference.com/teams/MON/2021.shtml
MON,2022,https://www.baseball-reference.com/teams/MON/2022.shtml
MON,2023,https://www.baseball-reference.com/teams/MON/2023.shtml
MON,2024,https://www.baseball-reference.com/teams/MON/2024.shtml
MON,2025,https://www.baseball-reference.com/teams/MON/2025.shtml
